[2, 3, 4, 8, 9, 12, 13, 14, 10, 11]
['GIoU', 'Objectness', 'Classification', 'Precision', 'Recall', 'val GIoU', 'val Objectness', 'val Classification', 'mAP@0.5', 'F1']
       0         1         2:GIoU  3 Obj       4:Cls      5         6         7        8:P      9:R       10:mAP    11:F1    12:vGiou   13:vObj   14:vCls
   102/272     4.65G     0.552     0.342         0     0.894       114       416     0.864     0.958     0.939     0.908     0.586     0.407         0
   103/272     4.65G     0.544     0.335         0     0.879        96       416     0.875     0.959      0.94     0.915     0.581     0.406         0
   104/272     4.65G     0.553      0.34         0     0.893       158       416     0.874     0.956      0.94     0.913     0.582     0.409         0
   105/272     4.65G      0.55     0.335         0     0.885       134       416     0.856     0.962     0.949     0.906     0.584     0.411         0
   106/272     4.65G     0.545     0.336         0      0.88       104       416     0.872     0.954     0.937     0.911      0.59      0.42         0
   107/272     4.65G     0.547     0.333         0      0.88       122       416     0.891     0.946      0.93     0.918     0.601     0.431         0
   108/272     4.65G     0.546     0.345         0     0.891        98       416     0.871     0.963     0.948     0.915     0.574     0.395         0
   109/272     4.65G     0.546     0.327         0     0.872        93       416     0.845     0.961     0.948     0.899     0.586     0.396         0
   110/272     4.65G     0.538     0.338         0     0.876       118       416     0.868     0.959     0.939     0.911     0.582     0.409         0
   111/272     4.65G     0.538      0.33         0     0.867        77       416     0.875     0.953     0.939     0.912     0.597      0.41         0
   112/272     4.65G     0.543      0.34         0     0.883       123       416     0.865     0.957     0.939     0.909     0.564     0.403         0
   113/272     4.65G      0.54     0.326         0     0.866        52       416     0.864     0.958     0.939     0.909     0.586     0.401         0
   114/272     4.65G     0.535     0.332         0     0.867        89       416     0.867      0.96     0.949     0.911     0.579     0.392         0
   115/272     4.65G     0.534      0.33         0     0.864        93       416     0.877     0.957     0.942     0.915     0.568     0.392         0
   116/272     4.65G     0.536     0.339         0     0.875       132       416     0.858     0.962     0.949     0.907     0.573     0.393         0
   117/272     4.65G     0.536     0.328         0     0.864        90       416     0.869     0.958     0.939     0.911     0.583     0.399         0
   118/272     4.65G     0.536     0.321         0     0.857       125       416     0.875      0.96     0.948     0.915     0.564     0.384         0
   119/272     4.65G     0.536     0.324         0     0.861        78       416     0.873     0.956     0.938     0.913     0.587     0.415         0
   120/272     4.65G     0.538     0.335         0     0.873        94       416     0.857     0.961     0.947     0.906     0.567     0.383         0
   121/272     4.65G     0.536     0.323         0     0.859        95       416     0.872     0.958      0.94     0.913     0.574     0.403         0
   122/272     4.65G     0.535     0.321         0     0.856       110       416     0.864     0.961     0.949      0.91     0.567     0.391         0
   123/272     4.65G     0.532     0.331         0     0.863        88       416     0.866      0.96     0.945      0.91     0.573     0.403         0
   124/272     4.65G     0.527     0.327         0     0.853       118       416     0.876     0.958      0.94     0.916     0.584     0.393         0
   125/272     4.65G     0.525     0.322         0     0.847       132       416     0.884     0.951     0.938     0.916     0.585     0.407         0
   126/272     4.65G     0.523     0.317         0      0.84        94       416     0.884     0.953     0.941     0.918     0.567     0.393         0
   127/272     4.65G     0.527     0.327         0     0.854       140       416     0.884     0.955     0.942     0.919     0.575     0.394         0
   128/272     4.65G     0.521     0.323         0     0.844       152       416     0.867     0.958     0.941      0.91     0.561     0.388         0
   129/272     4.65G     0.526     0.319         0     0.845       107       416     0.857     0.957      0.94     0.905     0.567     0.398         0
   130/272     4.65G     0.522     0.319         0     0.841        98       416     0.863     0.957      0.94     0.907     0.571     0.401         0
   131/272     4.65G     0.519     0.316         0     0.835        99       416     0.876     0.959      0.94     0.916     0.572     0.401         0
   132/272     4.65G     0.517     0.322         0     0.839       107       416      0.85     0.961     0.948     0.902     0.572     0.388         0
   133/272     4.65G     0.525     0.322         0     0.847        83       416     0.881     0.954     0.941     0.916     0.566     0.396         0
   134/272     4.65G     0.522      0.32         0     0.842       128       416      0.87      0.96     0.944     0.912     0.569     0.397         0
   135/272     4.65G     0.515     0.307         0     0.822       107       416      0.89      0.95     0.941     0.919     0.576     0.407         0
   136/272     4.65G     0.516     0.311         0     0.827        99       416     0.859     0.959      0.94     0.906     0.569     0.394         0
   137/272     4.65G      0.52     0.316         0     0.836        88       416     0.872     0.962     0.949     0.915     0.575     0.414         0
   138/272     4.65G     0.511     0.309         0      0.82       124       416     0.871     0.957      0.94     0.912     0.554     0.391         0
   139/272     4.65G     0.516     0.307         0     0.823       123       416      0.88     0.955     0.941     0.916     0.568     0.409         0
   140/272     4.65G     0.514     0.308         0     0.822       112       416     0.854     0.963     0.949     0.905     0.553     0.393         0
   141/272     4.65G     0.514     0.311         0     0.825       111       416     0.869     0.958      0.94     0.911     0.562     0.388         0
   142/272     4.65G     0.511     0.304         0     0.815        49       416     0.874     0.957     0.941     0.914      0.57     0.388         0
   143/272     4.65G     0.517     0.326         0     0.843        45       416     0.877     0.958     0.939     0.916     0.562     0.391         0
   144/272     4.65G     0.512     0.311         0     0.823        77       416     0.856     0.958      0.94     0.904     0.547     0.377         0
   145/272     4.65G     0.505     0.298         0     0.803       102       416     0.845     0.962     0.948       0.9     0.552      0.39         0
   146/272     4.65G     0.512     0.304         0     0.816       138       416     0.857     0.963     0.947     0.907     0.543     0.385         0
   147/272     4.65G     0.515     0.316         0     0.831       100       416      0.88     0.955      0.94     0.916     0.541     0.388         0
   148/272     4.65G     0.507     0.303         0      0.81        75       416     0.875     0.959     0.943     0.915     0.554     0.393         0
   149/272     4.65G     0.507      0.31         0     0.817        87       416     0.885     0.955     0.939     0.919     0.564     0.389         0
   150/272     4.65G     0.513     0.304         0     0.817        93       416     0.862     0.964     0.949      0.91     0.557     0.387         0
   151/272     4.65G     0.512     0.305         0     0.818       125       416      0.88     0.962     0.949     0.919     0.548     0.377         0
   152/272     4.65G     0.506     0.309         0     0.815       161       416     0.868     0.965     0.948     0.914     0.556      0.39         0
   153/272     4.65G     0.502     0.304         0     0.806       127       416     0.884     0.962     0.948     0.921     0.552     0.381         0
   154/272     4.65G     0.508     0.307         0     0.816       102       416     0.855     0.963     0.948     0.906     0.558     0.395         0
   155/272     4.65G     0.505     0.298         0     0.803       105       416     0.873     0.958     0.939     0.914     0.546     0.389         0
   156/272     4.65G     0.506     0.309         0     0.815       103       416     0.882     0.957      0.94     0.918      0.56     0.395         0
   157/272     4.65G     0.506     0.308         0     0.814       122       416     0.874      0.96     0.946     0.915     0.549       0.4         0
   158/272     4.65G     0.507     0.309         0     0.815       106       416     0.871     0.958     0.939     0.912     0.551     0.401         0
   159/272     4.65G     0.498     0.304         0     0.802       107       416     0.872     0.959     0.941     0.913     0.554     0.389         0
   160/272     4.65G     0.501     0.298         0       0.8       125       416     0.889     0.958      0.94     0.922     0.553     0.392         0
   161/272     4.65G     0.501     0.295         0     0.796       123       416     0.883     0.957     0.941     0.918     0.558     0.385         0
   162/272     4.65G     0.498     0.298         0     0.795       122       416     0.878     0.958     0.939     0.916     0.558     0.388         0
   163/272     4.65G     0.506     0.291         0     0.797        76       416     0.858     0.961     0.948     0.907     0.559     0.407         0
   164/272     4.65G     0.509     0.294         0     0.803        96       416     0.883     0.959     0.943     0.919      0.55     0.385         0
   165/272     4.65G     0.498     0.296         0     0.795        89       416     0.871      0.96     0.945     0.913     0.546     0.395         0
   166/272     4.65G     0.497     0.293         0      0.79       110       416      0.88     0.956      0.94     0.916     0.547     0.394         0
   167/272     4.65G     0.498     0.303         0     0.801       114       416     0.891     0.955      0.94     0.922     0.556     0.397         0
